s x_s y_s F_val G_val
5.81 2.39012 1.04428 0.389511 0.38911
5.82 2.39463 1.0532 0.383294 0.382924
5.83 2.39906 1.06217 0.377191 0.376849
5.84 2.40339 1.07118 0.371202 0.370886
5.85 2.40763 1.08024 0.365323 0.365032
5.86 2.41179 1.08933 0.359555 0.359287
5.87 2.41585 1.09847 0.353895 0.353648
5.88 2.41982 1.10765 0.348342 0.348114
5.89 2.42369 1.11687 0.342894 0.342685
5.9 2.42748 1.12612 0.33755 0.337357
5.91 2.43117 1.13542 0.332308 0.332131
5.92 2.43477 1.14475 0.327167 0.327004
5.93 2.43828 1.15411 0.322125 0.321976
5.94 2.44169 1.16351 0.317181 0.317044
